id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
36629,Eπαγγελματική ζυγαριά ακριβείας - DM3,Eπαγγελματική ζυγαριά ακριβείας - DM3 - 112388,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_167042.jpeg,OEM,No Color,0.4,"<ul><li>Ικανότητα ζύγισης από 0.01 g – 500g</li><li>Δυνατότητες: λειτουργία ON/OFF, απόβαρο</li><li>Οθόνη LCD</li><li>Απενεργοποιείται αυτόματα μετά 180 δευτερόλεπτα αδράνειας</li><li>Λειτουργία με μπαταρίες 2A (συμπεριλαμβάνονται στην συσκευασία)</li><li>Μέγεθος ζυγαριάς 180mm x 117mm x 20mm</li><li>Μέγεθος δίσκου 190mm x 145mm x 25mm</li><li>Καθαρό βάρος ζυγαριάς 248g</li><li>Δυνατότητα μεταφοράς</li></ul>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
38377,Επαγγελματική ψηφιακή ζυγαριά τσέπ,Επαγγελματική ψηφιακή ζυγαριά τσέπης - CS - 1Kg - 910555,in stock,new,5.4 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2004_910555-1.jpg,OEM,No Color,0.3,"<div class=""sku-description""><div class=""simple-description js-description-html""><p>Ζυγαριά ακριβείας σε μέγεθος τσέπης, με μπαταρία και ζυγιστική ικανότητα έως 1 kg.</p></div><div class=""rich-components""><section class=""one-column""><div class=""body-text""><ul><li>Οθόνη LCD με φωτισμό</li><li>Χαμηλή κατανάλωση ενέργειας, που τροφοδοτείται από δύο μπαταρίες ΑΑΑ</li><li>Διαθέτει δείκτη υπερφόρτωσης</li><li>Μέγιστη ζύγιση: 1 kg</li><li>Aκρίβεια βάρους: 0.1 gr</li><li>Μονάδες: G, CT, DWT, GN, OZ, TL, OZT</li><li>Λειτουργία TARE</li><li>Λειτουργία αυτόματης απενεργοποίησης (μετά από 60s αδράνειας)</li><li>Διαστάσεις: 12 x 7.5 x 1.9 cm</li><li>Βάρος: 100 gr</li></ul></div></section><section class=""one-column""><div class=""body-text""> </div></section></div></div>",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54409,Ψηφιακή ζυγαριά ακριβείας - Notebook - 820,Ψηφιακή ζυγαριά ακριβείας - Notebook - 820A - 685251,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/685251.jpg,OEM,No Color,0.8,"Εργαστηριακή ψηφιακή ζυγαριά υψηλής ακριβείας με μέγιστο βάρος 0.5kg και υποδιαίρεση 0.01gr.
    Μεταλλική ανοξείδωτη πλατφόρμα ζύγισης
    Συνοδεύεται με καπάκι προστασίας
    Επιλογή ρύθμισης ανάμεσα σε γραμμάρια GN / OCT / DWT / OZT
    Οθόνη LCD ευανάγνωστη
    Διαθέτει μνήμη απόβαρου
    Ένδειξη υπέρβαρου
    Αυτόματο σβήσιμο μετά απο 30""
    Ένδειξη χαμηλής μπαταρίας
    Λειτουργεί με 2 μπαταρίες ΑΑ
    Διαστάσεις 9 x 11.5 cm",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54412,Ψηφιακή ζυγαριά ακριβείας τσέπης - 2,Ψηφιακή ζυγαριά ακριβείας τσέπης - 211239,in stock,new,7.2 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/a83038846571de8e188545fd58af343e.jpg,OEM,No Color,0.8,"Χαρακτηριστικά:
6 Διαφορετικοί τρόποι ζύγισης ( g, oz, ozt, dwt, gn, ct).
Μέγεθος πλατφόρμας: 5.5 x 6cm.
Μέγεθος ζυγαριάς: 10.3 x 7.4cm.
Λειτουργία αυτόματης απενεργοποίησης.
Οθόνη LCD με 5 ψηφία. Μέτρηση έως 100gr x 0,1gr. 
Περιλαμβάνει 2 μπαταρίες ΑΑΑ.
Καθαρό βάρος: 81g.",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54415,Ψηφιακή ζυγαριά ακριβείας τσέπης - M,Ψηφιακή ζυγαριά ακριβείας τσέπης - MT201 - 211237,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/93cf111287402d32c5ef926caa587d5f.jpg,OEM,No Color,0.7,"Ψηφιακή ζυγαριά ακριβείας με χωρητικότητα έως 200γρ και με ακρίβεια εκατοστού του γραμμαρίου ( 0,01gr ).
Πολύ λειτουργική, σε μέγεθος τσέπης, είναι εξοπλισμένη με πλατφόρμα ανοξείδωτου χάλυβα και μεγάλη οθόνη LCD με οπίσθιο φωτισμό για εύκολη ανάγνωση.
Με προστατευτικό καπάκι που μπορεί εύκολα να αποσπασθεί και να χρησιμοποιηθεί ως δίσκος ζύγισης.
Ιδανική για κάθε χρήση μέτρησης που απαιτεί ακριβεια.
Χαρακτηριστικά:
    Διαβάθμιση από 0,01gr
    Μέτρηση μέχρι και 200gr
    Διαστάσεις 85 x 45 x 19 mm
    Επιλογή ρύθμισης ανάμεσα σε γραμμάρια /GN/CT/DWT/OZT.
    Λειτουργία απόβαρου
    Αυτόματο σβήσιμο μετά από 60""
    Περιλαμβάνονται 2 μπαταρίες ΑΑΑ",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54418,Ψηφιακή ζυγαριά ακριβείας τσέπης - 3,Ψηφιακή ζυγαριά ακριβείας τσέπης - 333 - 211236,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211236.png,OEM,No Color,0.8,"Ψηφιακή Ζυγαριά Ακριβείας Μίνι 0,01gr - 200gr - Pocket Digital Scale MH-333
Από τις μικρότερες ψηφιακες ζυγαριές ακριβείας με ακρίβεια ζύγησης 0,01 του γραμμαρίου και μέγιστο βάρος τα 200gr.
Εξοπλισμένη με πλατφόρμα ανοξείδωτου χάλυβα και μεγάλη οθόνη 1.2'' LCD με οπίσθιο φωτισμό για εύκολη ανάγνωση.
Με προστατευτικό καπάκι που μπορεί εύκολα να αποσπασθεί και να χρησιμοποιηθεί ως δίσκος ζύγισης.

Χαρακτηριστικά:
- Μέγιστο βάρος ζύγισης 200 g
- Ακρίβεια 0.01g
- 1.2'' LCD οθόνης
- Διαφορετικές μονάδες μέτρησης (GR, CT, OZ, DWT)
- Χρησιμοποιεί μπαταρία λιθίου CR2032 συμπεριλαμβάνεται
- Μπλε οθόνη με οπίσθιο φωτισμό
Διαστάσεις: 8,0 εκατοστά x 4,0 εκατοστά x 1 cm)
Βάρος: 47 g",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54421,Ψηφιακή ζυγαριά ακριβείας τσέπης - 2,Ψηφιακή ζυγαριά ακριβείας τσέπης - 211235,in stock,new,12.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211235.jpg,OEM,No Color,0.8,"Ψηφιακή Ζυγαριά Ακριβείας 200gr x 0.01gr.

Φωτιζόμενη οθόνη LCD. Λειτουργία αυτόματου κλεισίματος. 
Το μέγεθος της ζυγαριάς είναι μικρό και εύκολο στην μεταφορά. Η συσκευασία περιλαμβάνει ένα βαρίδιο για το καλιμπράρισμα της ζυγαριάς και ένα μεταλλικό τσιμπιδάκι.
    Ζυγίζει μέχρι: 200gr
    Ακρίβεια: 0.01gr
    Τροφοδοσία: 2 x AAA",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54424,Ψηφιακή ζυγαριά ακριβείας τσέπης - 9,Ψηφιακή ζυγαριά ακριβείας τσέπης - 999-600G - 910548,in stock,new,9.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/910548.jpg,OEM,No Color,0.8,"Μεγάλη οθόνη LCD με οπίσθιο φωτισμό
7 μονάδες μέτρησης: g, oz, lb, tl, ct, gn, kg
Υποδιαίρεση 0.01gr. Ζύγιση έως 600g. 
Μεταλλική ανοξείδωτη πλατφόρμα ζύγισης
Συνοδεύεται με καπάκι προστασίας
Διαθέτει μνήμη απόβαρου
Ένδειξη υπέρβαρου
Αυτόματο σβήσιμο μετά απο 30""
Ένδειξη χαμηλής μπαταρίας
Λειτουργεί με 2 μπαταρίες ΑΑ
Διαστάσεις 165 x 110 x 21 cm",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54427,Ψηφιακή ζυγαριά ακριβείας τσέπης - 9,Ψηφιακή ζυγαριά ακριβείας τσέπης - 999-600G - 211234,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/910548.jpg,OEM,No Color,0.8,"Μεγάλη οθόνη LCD με οπίσθιο φωτισμό
7 μονάδες μέτρησης: g, oz, lb, tl, ct, gn, kg
Υποδιαίρεση 0.01gr. Ζύγιση έως 600g. 
Μεταλλική ανοξείδωτη πλατφόρμα ζύγισης
Συνοδεύεται με καπάκι προστασίας
Διαθέτει μνήμη απόβαρου
Ένδειξη υπέρβαρου
Αυτόματο σβήσιμο μετά απο 30""
Ένδειξη χαμηλής μπαταρίας
Λειτουργεί με 2 μπαταρίες ΑΑ
Διαστάσεις 165 x 110 x 21 cm",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
54430,Ψηφιακή ζυγαριά ακριβείας τσέπης  - ,Ψηφιακή ζυγαριά ακριβείας τσέπης  - TE065 - 211233,in stock,new,4.5 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/05/211233.jpg,OEM,No Color,0.8,"Μίνι Ηλεκτρονική Ζυγαριά Ακριβείας Τσέπης 0.1-500g, 12x6.2x2 cm Mini Pocket Scale Κάθε επαγγελματίας και μη χρειάζεται μια βολική ζυγαριά σε συμπαγές μέγεθος, εργονομικά κατασκευασμένη και με υψηλής ακρίβεια για να ζυγίζει διάφορα αντικείμενα. Η υποφαινόμενη ζυγαριά παρέχει ακριβώς αυτές τις υπηρεσίς. Η πρόσθετη λειτουργία TARE σας επιτρέπει να αφαιρέσετε το βάρος της συσκευασίας κατά τη ζύγιση. Χρησιμοποιείται όπου απαιτείται υψηλή ακρίβεια και μικρές μετρήσεις. Ψηφιακό, ακριβές, μικρό βάρος τσέπης με εξαιρετική ακρίβεια 0,1 g. Η ζυγαριά διαθέτει καθαρή οθόνη LCD και μικρές διαστάσεις που επιτρέπουν την απόκρυψη στην τσέπη εύκολα. Είναι εξοπλισμένο με μια εξαιρετικά χρήσιμη λειτουργία αυτόματης απενεργοποίησης (30s) - χάρη σε αυτό, η κλίμακα, όταν δεν χρησιμοποιείται, τίθεται σε κατάσταση αναστολής λειτουργίας, ενώ το κάλυμμα που προστατεύει τις ζυγαριές αποτρέπει την αυτόματη εναλλαγή κατά τη μεταφορά π.χ. σε μια τσέπη. Διαστάσεις Μήκος: 6,2 cm Πλάτος: 12 cm Ύψος: 2 cm Χαρακτηριστικά Μονάδες μέτρησης: G, OZ, CT, TL, GN Εύρος βάρους: έως 500g Ακρίβεια βάρους: έως 0,1 γραμμάρια Πρόσθετη λειτουργία: TARE Οθόνη: με οπίσθιο φωτισμό Αυτόματος διακόπτης: μετά από 30s Τροφοδοσία: 2x μπαταρίες AAA (περιλαμβάνονται)",ΕΡΓΑΛΕΙΑ  ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ ΕΞΟΠΛΙΣΜΟΣ>Επαγγελματικές ζυγαριές  θερμοκολλητικά>Ζυγαριές τσέπης
