id,title,description,availability,condition,price,link,image_link,brand,color,shipping_weight,rich_text_description,fb_product_category
35268,Μηχάνημα καθαρισμού αυτιών - Wax Vac - 45,Μηχάνημα καθαρισμού αυτιών - Wax Vac - 456682,in stock,new,0.9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/WAXVAC.jpg,OEM,No Color,0.4,"<p>Καθαρίστε τα αυτιά σας αποτελεσματικά, ακίνδυνα και εύκολα με αυτή την επαναστατική συσκευή καθαρισμού. Η συσκευή καθαρισμού αυτιών - Wax Vac, απορροφά από τα αυτιά το συσσωρευμένο κερί, τις ακαθαρσίες και το νερό που συγκεντρώνεται μετά το μπάνιο, χωρίς να τα σπρώχνει προς τα μέσα όπως οι κοινές μπατονέτες και χωρίς κινδύνους τραυματισμού και μολύνσεων.</p><p>Μία συσκευή που δεν θα πρέπει να λείπει από κανένα σπίτι!</p><p>Στην συσκευασία υπάρχει βουρτσάκι καθαρισμού και 4 ανταλλακτικές θήκες από σιλικόνη, για να χρησιμοποιεί κάθε μέλος της οικογένειας τη δική του.</p><p>Λειτουργεί με 2 μπαταρίες ΑΑ (δεν περιλαμβάνονται).</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
35350,Αερογράφος - Body Spray Compressor - ASG002 - 100018,Αερογράφος - Body Spray Compressor - ASG002 - 100018,in stock,new,117 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/body-spray-compressor-asg002.jpg,OEM,No Color,0.4,"<p>Αερογράφος υψηλής ποιότητας σχεδιασμένος για καλλιτεχνικές εργασίες: μακιγιάζ, περιποίηση άκρων, ζωγραφική, ημιμόνιμα τατουάζ, διακόσμηση ζαχαροπλαστικής, χειροτεχνίες, χόμπι κα.</p><p>Παρακαλούμε διαβάστε προσεκτικά τις Οδηγίες Χρήσης πριν χρησιμοποιήσετε το εργαλείο για την καλύτερη δυνατή απόδοση.</p><ul><li>Cup Volume: <span class=""des-wrap"">7cc  </span></li><li>Model Number: <span class=""des-wrap"">ASG002  </span></li><li>Type: <span class=""des-wrap"">Mini Spray Gun  </span></li><li>No-Load Speed: <span class=""des-wrap"">12000rpm  </span></li><li>Application: <span class=""des-wrap"">Paint Spray Gun  </span></li><li>Feed Type: <span class=""des-wrap"">Gravity  </span></li><li>Power Type: <span class=""des-wrap"">Pneumatic  </span></li><li>Used for 1:<span class=""des-wrap"">airbrush for nail art  </span></li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
35462,Σετ περιποίησης νυχιών - 671000,Σετ περιποίησης νυχιών - 671000,in stock,new,1.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/15688602640716803-1.jpg,OEM,No Color,0.4,"<p>Ολοκληρωμένο σετ περιποίησης άκρων, απαραίτητο για κάθε σπίτι!</p><p>Διαθέτει όλα τα αξεσουάρ που χρειάζεστε για να περιποιηθείτε τα νύχια σας. Το σετ διαθέτει θήκη από δερματίνη. Είναι κατάλληλο για μεταφορά σε μετακινήσεις και ταξίδια.</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36323,Καθρέπτης μακιγιάζ LED - TC-309 - 235925,Καθρέπτης μακιγιάζ LED - TC-309 - 235925,in stock,new,8.1 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2710_235925.jpg,OEM,No Color,0.4,"<p>Ο στρογγυλός καθρέφτης μακιγιάζ με Led και ανεμιστήρα, είναι η ιδανική λύση για ένα αψεγάδιαστο μακιγιάζ αλλά και για κάθε περιποίηση προσώπου, εύκολα, χωρίς κόπο, με ακρίβεια και χωρίς τις ενοχλητικές αλλοιώσεις που προκαλούνται από τη ζέστη.</p><p>Λειτουργεί με 3 μπαταρίες ΑΑΑ που δεν συμπεριλαμβάνονται.</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36421,Σετ μεσοθεραπείας προσώπου - 4 σε 1 - M,Σετ μεσοθεραπείας προσώπου - 4 σε 1 - Meso Roller - MR-668 - 764871,in stock,new,6.3 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/20200730153421_meso_roller_4_in_1_mr_668.jpeg,OEM,No Color,0.4,"<p>Φέρε την υπηρεσία μεσοθεραπείας των κλινικών αισθητικής ιατρικής στο σπίτι σου! Σύγχρονο εργαλείο υψηλής ποιότητας, ιδανικό για επαγγελματική περιποίηση προσώπου άλλα και σώματος στο σπίτι. Αναζωογονήστε το δέρμα σας , δώστε του υγεία και ζωντάνια! Ο επαγγελματικά σχεδιασμένος κύλινδρος με βελόνες από ανοξείδωτο ατσάλι, ενεργοποιεί και αυξάνει την παραγωγή φυσικού κολλαγόνου και ελαστίνης στο δέρμα. Η επιδερμίδα ανανεώνεται και συσφίγγει ενώ μειώνονται σημαντικά τα σημάδια, οι λεπτές ρυτίδες, οι πανάδες, οι ουλές και οι ραγάδες. Κατασκευασμένο από υψηλής ποιότητας υποαλλεργικά υλικά. Διαθέτει 4 κεφαλές διαφορετικού πλάτους για χρήση σε κάθε σημείο προσώπου.</p><p><strong>Χαρακτηριστικά:</strong></p><p><strong>1η+2η κεφαλή DRS50</strong></p><ul><li>Μέγεθος Κεφαλής : 0.5 cm</li><li>Αριθμός Βελόνων : 180</li><li>Ιδανικό για περιποίηση προσώπου</li></ul><p><strong>2η κεφαλή DRS100</strong></p><ul><li>Μέγεθος Κεφαλής : 1 cm</li><li>Αριθμός Βελόνων : 600</li><li> Ιδανικό για περιποίηση προσώπου</li></ul><p><strong>3η κεφαλή DRS150</strong></p><ul><li>Μέγεθος Κεφαλής : 1,5 cm</li><li>Αριθμός Βελόνων : 1200</li><li>Μπορεί να χρησιμοποιηθεί και για περιποίηση σώματος</li></ul><p><strong>Περιεχόμενα Συσκευασίας:</strong></p><ul><li>Συσκευή Ρόλερ</li><li>4 κεφαλές</li><li>Προστατευτικό κουτί</li></ul><p><strong>Προφυλάξεις:</strong></p><ul><li>Μην το χρησιμοποιείτε σε δέρματα με ακμή, ανοιχτές πληγές, ερεθισμένο δέρμα, εξανθήματα και φλεγμονές.</li><li>Μην το χρησιμοποιείτε γύρω από τη περιοχή των ματιων ή στα χείλη</li><li>Η χρήση του να γίνεται αποκλειστικά από ένα άτομο.</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36522,Συσκευή καθαρισμού και απολέπισης �,Συσκευή καθαρισμού και απολέπισης προσώπου - KM-7204 - Kemei,in stock,new,21.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2809_372047-1.jpeg,OEM,No Color,0.8,"<div class=""clearfix tabsSection""><div class=""tab-content""><div id=""description""><p>Η Kemei Facial Cleasing Brush KM-7204, 5 σε 1 θα σας καταπλήξει με τις δυνατότητες της! Αφαιρεί τα μαύρα στίγματα και χαρίζει βαθύ καθαρισμό και απολέπιση μετατρέποντας το θαμπό δέρμα και λείο και απαλό με φυσική λάμψη!</p><p>Διαθέτει 5 διαφορετικές εναλλασσόμενες κεφαλές:</p><ul><li>Κεφαλή μασάζ προσώπου</li><li>Κεφαλή περιποίησης</li><li>Σκληρό βουρτσάκι</li><li>Πλατύ βουρτσάκι</li><li>Βουρτσάκι σιλικόνης</li></ul><p>Εργονομική σχεδίαση για εύκολη χρήση.</p><p><strong>Χαρακτηριστικά</strong>:</p><ul><li>Μπαταρία: 600 mAh battery</li><li>Τάση: 100-240V</li><li>Αυτονομία μπαταρίας: 1 ώρα</li><li>Χρόνος φόρτισης: έως 8 ώρες</li><li>Διαστάσεις: 17.5 x 4.8 x 4.4 cm</li><li>Βάρος: 500 gr</li></ul><p><strong>Η συσκευασία περιέχει:</strong></p><ul><li>1 x Kemei Facial Cleasing Brush KM-7204 5 in 1</li><li>1 x Βάση</li><li>5 x κεφαλές</li><li>1 x Οδηγός χρήσης</li></ul></div></div></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36584,Καθρέφτης μακιγιάζ LED με ανεμιστήρα,Καθρέφτης μακιγιάζ LED με ανεμιστήρα - 883006,in stock,new,3.6 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_883006.jpg,OEM,No Color,0.1,<p>Καθρέπτης μακιγιάζ με φωτισμό LED και ανεμιστηράκι για να κάνεις το καθημερινό σου μακιγιάζ με ακρίβεια και χωρίς τις ενοχλητικές αλλοιώσεις που προκαλεί η ζέστη.<br />Σε μέγεθος τσέπης για εύκολη μεταφορά και χρήση όπου και αν βρίσκεσαι.</p>,ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36587,Καθρέπτης μακιγιάζ LED με ανεμιστήρα,Καθρέπτης μακιγιάζ LED με ανεμιστήρα - 022654,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2904_022654.jpeg,OEM,No Color,0.4,"<p>Καθρέπτης μακιγιάζ με φωτισμό LED και ανεμιστηράκι για να κάνεις το καθημερινό σου μακιγιάζ με ακρίβεια και χωρίς τις ενοχλητικές αλλοιώσεις που προκαλεί η ζέστη.</p><p>Διαθέτει βάση τοποθέτησης προϊόντων και έξτρα, αποσπώμενο μεγεθυντικό καθρεφτάκι που το τοποθετείται εσείς όποτε το χρειάζεστε.</p>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36624,Ηλεκτρική οδοντόβουρτσα - HP-301 - 163017 -,Ηλεκτρική οδοντόβουρτσα - HP-301 - 163017 - Happy Sheep,in stock,new,10.8 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/2005_163017.jpg,OEM,No Color,0.3,"<div class=""ty-product-block__note""><p>Ηλεκτρική οδοντόβουρτσα με τεχνολογία που εισχωρεί παντού, ακόμα και στα πιο δύσκολα σημεία, για έναν βαθύ και αποτελεσματικό καθαρισμό των δοντιών που προλαμβάνει την πλάκα και την ουλίτιδα.</p><ul><li>Ισχυρός κινητήρας</li><li>6 τρόποι καθαρισμού</li><li>Χρονοδιακόπτης 2 λεπτών</li><li>Λειτουργία κλειδώματος</li><li>Καλώδιο φόρτισης USB</li></ul></div>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
36855,Καθρέφτης μακιγιάζ διπλής όψης LED - J,Καθρέφτης μακιγιάζ διπλής όψης LED - JG003 - 227821,in stock,new,9 EUR,,https://www.tradesor.gr/wp-content/uploads/2023/04/1308_227821.jpeg,OEM,No Color,0.4,"<p>Καθρέπτης μακιγιάζ διπλής όψης, με περιμετρικό φωτισμό LED και στις δυο πλευρές. H μία πλευρά διαθέτει μεγέθυνση 10x. Διαθέτει βάση στήριξης κινητού τηλεφώνου και βάση τοποθέτησης προϊόντων. Είναι πτυσσόμενος για να ρυθμίζετε εσείς την γωνία που σας βολεύει περισσότερο. <br />Λειτουργεί με 3 μπαταρίες ΑΑ (δεν περιλαμβάνονται)</p><p><strong>Χαρακτηριστικά</strong> :</p><ul><li>Ύψος: 29cm</li><li>Διάμετρος: 17cm</li></ul>",ΥΓΕΙΑ - ΟΜΟΡΦΙΑ  Fitness>Είδη περιποίησης νυχιών  μακιγιάζ>Είδη καλλωπισμού  μακιγιάζ
